word,TF-IDF
read,0.0274
get,0.0253
wildfire,0.0201
play,0.0187
weather,0.0166
song,0.0164
summer,0.015
say,0.0147
make,0.0146
day,0.0145
listen,0.0136
time,0.0133
know,0.0126
good,0.0125
fuck,0.0121
start,0.012
radio,0.0118
week,0.0116
think,0.0115
year,0.0114
glass,0.0114
today,0.0113
see,0.0112
animal,0.0111
right,0.011
come,0.0107
world,0.0105
people,0.0105
new,0.0104
temperature,0.0103
heat,0.0101
gonna,0.01
climate,0.0096
take,0.0094
city,0.0092
want,0.0092
mini,0.009
night,0.0089
hottest,0.0088
reading,0.0088
feel,0.0087
video,0.0087
hot,0.0086
last,0.0085
sunny,0.0083
love,0.0083
helium,0.0083
april,0.0082
fcu,0.0082
home,0.0081
sun,0.0079
look,0.0079
hit,0.0078
need,0.0078
way,0.0077
watch,0.0077
next,0.0074
sapnap,0.0073
hotcitiesworld,0.0071
worldcities,0.0071
globalcities,0.0071
hotweather,0.0071
help,0.0071
music,0.0071
please,0.0071
degree,0.007
season,0.0069
cant,0.0068
fire,0.0068
thing,0.0067
finish,0.0067
change,0.0066
warm,0.0065
karachi,0.0064
weekend,0.0064
miniheatwave,0.0064
flood,0.0064
much,0.0064
stop,0.0064
enjoy,0.0063
talk,0.0063
flower,0.0062
use,0.0062
fanfic,0.0062
cause,0.0061
cool,0.0061
live,0.006
cry,0.006
guy,0.006
mean,0.006
show,0.0058
drought,0.0058
wait,0.0058
give,0.0058
bcdu,0.0058
news,0.0057
call,0.0057
fan,0.0057
brit,0.0056
bcd,0.0056
fic,0.0056
try,0.0055
let,0.0055
bad,0.0055
baeu,0.0055
manhunt,0.0055
quackity,0.0055
keep,0.0054
extreme,0.0054
turn,0.0054
set,0.0054
high,0.0053
rain,0.0053
tomorrow,0.0052
little,0.0052
life,0.0052
sometro,0.0051
great,0.005
someone,0.005
cold,0.005
part,0.005
lol,0.005
boogie,0.005
car,0.005
chapter,0.005
spring,0.0049
tell,0.0049
shit,0.0049
hope,0.0049
end,0.0049
mcyt,0.0049
work,0.0048
middle,0.0048
forecast,0.0048
record,0.0048
youtube,0.0048
something,0.0048
lmao,0.0048
follow,0.0047
book,0.0047
expect,0.0047
everyone,0.0047
leave,0.0047
friend,0.0047
beach,0.0046
omg,0.0046
chilli,0.0046
nowplaying,0.0046
heard,0.0046
big,0.0045
month,0.0045
water,0.0045
yes,0.0045
wave,0.0044
fake,0.0044
played,0.0044
line,0.0043
send,0.0042
snow,0.0042
god,0.0042
head,0.0041
best,0.0041
event,0.0041
many,0.0041
india,0.004
heatwaveosu,0.004
park,0.004
weatherforecast,0.004
tweet,0.004
yeah,0.004
ember,0.004
write,0.004
break,0.0039
second,0.0039
power,0.0039
ask,0.0039
afu,0.0039
remember,0.0039
author,0.0039
stream,0.0039
sure,0.0038
rise,0.0038
ccu,0.0038
ready,0.0038
state,0.0038
june,0.0038
happen,0.0038
hear,0.0038
death,0.0038
thought,0.0038
anything,0.0038
pls,0.0038
air,0.0037
due,0.0037
put,0.0037
okay,0.0037
holiday,0.0037
find,0.0037
become,0.0037
story,0.0037
